segment,family,product,architecture,form_factor,cpu_cores,gpu_compute_units,npu_tops,memory,io,default_power,distinguishing_feature,source_id
desktop_cpu,Ryzen_9000,Ryzen_9_9950X,Zen_5,AM5,16,2,,DDR5_dual_channel,PCIe_5.0,170W,Two_CCD_high_throughput,A007
desktop_cpu,Ryzen_9000,Ryzen_9_9900X,Zen_5,AM5,12,2,,DDR5_dual_channel,PCIe_5.0,120W,Two_CCD,A002
desktop_cpu,Ryzen_9000,Ryzen_7_9700X,Zen_5,AM5,8,2,,DDR5_dual_channel,PCIe_5.0,65W,Single_CCD_efficiency,A008
desktop_cpu,Ryzen_9000,Ryzen_5_9600X,Zen_5,AM5,6,2,,DDR5_dual_channel,PCIe_5.0,65W,Mainstream_unlocked,A002
desktop_cpu,Ryzen_9000_X3D,Ryzen_7_9800X3D,Zen_5,AM5,8,2,,DDR5_dual_channel,PCIe_5.0,120W,Second_gen_3D_V_Cache,A009
desktop_cpu,Ryzen_9000_X3D,Ryzen_9_9950X3D,Zen_5,AM5,16,2,,DDR5_dual_channel,PCIe_5.0,170W,Dual_CCD_X3D,A002
desktop_apu,Ryzen_8000G,Ryzen_7_8700G,Zen_4_RDNA_3_XDNA,AM5,8,12,16,DDR5_dual_channel,PCIe_4.0,65W,Strong_desktop_iGPU,A003
mobile_apu,Ryzen_AI_300,Ryzen_AI_9_HX_370,Zen_5_Zen_5c_RDNA_3.5_XDNA_2,BGA,12,16,50,DDR5_or_LPDDR5X,PCIe_4.0,28W_default,Copilot_plus_class_NPU,A004
mobile_apu,Ryzen_AI_300,Ryzen_AI_9_365,Zen_5_Zen_5c_RDNA_3.5_XDNA_2,BGA,10,12,50,DDR5_or_LPDDR5X,PCIe_4.0,28W_default,Thin_and_light_AI,A004
mobile_desktop_apu,Ryzen_AI_400,Ryzen_AI_9_HX_475,Zen_5_Zen_5c_RDNA_3.5_XDNA_2,BGA,12,16,50,DDR5_or_LPDDR5X,PCIe_4.0,28W_default,2026_form_factor_expansion,A081
mobile_desktop_apu,Ryzen_AI_400,Ryzen_AI_9_465,Zen_5_Zen_5c_RDNA_3.5_XDNA_2,BGA,10,12,50,DDR5_or_LPDDR5X,PCIe_4.0,28W_default,2026_mainstream_AI,A081
mobile_workstation_apu,Ryzen_AI_Max_300,Ryzen_AI_Max_Plus_395,Zen_5_RDNA_3.5_XDNA_2,BGA,16,40,50,LPDDR5X_256_bit,PCIe_4.0,55W_default,Large_shared_memory_APU,A051
mobile_workstation_apu,Ryzen_AI_Max_300,Ryzen_AI_Max_390,Zen_5_RDNA_3.5_XDNA_2,BGA,12,32,50,LPDDR5X_256_bit,PCIe_4.0,55W_default,Shared_memory_workstation,A004
mobile_workstation_apu,Ryzen_AI_Max_300,Ryzen_AI_Max_385,Zen_5_RDNA_3.5_XDNA_2,BGA,8,32,50,LPDDR5X_256_bit,PCIe_4.0,55W_default,Compact_AI_workstation,A004
hedt,Threadripper_9000,Ryzen_Threadripper_9980X,Zen_5,sTR5,64,,,DDR5_4_channel,PCIe_5.0_up_to_80_lanes,350W,HEDT_throughput,A010
hedt,Threadripper_9000,Ryzen_Threadripper_9970X,Zen_5,sTR5,32,,,DDR5_4_channel,PCIe_5.0_up_to_80_lanes,350W,HEDT_balance,A010
workstation_cpu,Threadripper_PRO_9000_WX,Ryzen_Threadripper_PRO_9995WX,Zen_5,sTR5,96,,,DDR5_8_channel,PCIe_5.0_WRX90,350W,Maximum_workstation_cores,A010
workstation_cpu,Threadripper_PRO_9000_WX,Ryzen_Threadripper_PRO_9975WX,Zen_5,sTR5,32,,,DDR5_8_channel,PCIe_5.0_WRX90,350W,High_frequency_workstation,A010
desktop_gpu,Radeon_RX_9000,Radeon_RX_9070_XT,RDNA_4,add_in_card,,64,,16GB_GDDR6,PCIe_5.0,304W_TBP,High_end_RDNA4,A014
desktop_gpu,Radeon_RX_9000,Radeon_RX_9070,RDNA_4,add_in_card,,56,,16GB_GDDR6,PCIe_5.0,220W_TBP,Upper_mainstream_RDNA4,A014
desktop_gpu,Radeon_RX_9000,Radeon_RX_9060_XT_16GB,RDNA_4,add_in_card,,32,,16GB_GDDR6,PCIe_5.0,160W_TBP,Mainstream_capacity_option,A014
desktop_gpu,Radeon_RX_7000,Radeon_RX_7900_XTX,RDNA_3_chiplet,add_in_card,,96,,24GB_GDDR6,PCIe_4.0,355W_TBP,GCD_plus_MCD,A015
desktop_gpu,Radeon_RX_7000,Radeon_RX_7900_XT,RDNA_3_chiplet,add_in_card,,84,,20GB_GDDR6,PCIe_4.0,315W_TBP,High_capacity_RDNA3,A012
desktop_gpu,Radeon_RX_7000,Radeon_RX_7800_XT,RDNA_3,add_in_card,,60,,16GB_GDDR6,PCIe_4.0,263W_TBP,1440p_class,A012
professional_gpu,Radeon_PRO_W7000,Radeon_PRO_W7900,RDNA_3,add_in_card,,96,,48GB_GDDR6,PCIe_4.0,295W_TBP,Professional_driver_and_capacity,A016
professional_gpu,Radeon_AI_PRO,Radeon_AI_PRO_R9700,RDNA_4,add_in_card,,64,,32GB_GDDR6,PCIe_5.0,300W_TBP,AI_and_professional_RDNA4,A039
handheld_apu,Ryzen_Z1,Ryzen_Z1_Extreme,Zen_4_RDNA_3,BGA,8,12,,LPDDR5X_shared,PCIe_4.0,OEM_configurable,Windows_handheld,A076
handheld_apu,Ryzen_Z2,Ryzen_Z2_Extreme,Zen_5c_Zen_5_RDNA_3.5,BGA,8,16,,LPDDR5X_shared,OEM_platform,OEM_configurable,Next_gen_handheld,A003
semi_custom,Steam_Deck,Custom_AMD_APU,Zen_2_RDNA_2,BGA,4,8,,16GB_LPDDR5_unified,Custom_platform,4_to_15W_APU,Fixed_SteamOS_target,A075
semi_custom,Xbox_Series_X,Custom_AMD_SoC,Zen_2_RDNA_2,console,8,52,,16GB_GDDR6_unified,Custom_IO,Console_envelope,Velocity_Architecture,A021
semi_custom,PlayStation_5_Pro,Custom_AMD_SoC,Zen_2_custom_Radeon,console,8,,,16GB_GDDR6_plus_system,Custom_IO,Console_envelope,PSSR_and_improved_RT,A073
server_cpu,EPYC_9005,EPYC_9965,Zen_5c,SP5,192,,,DDR5_12_channel,PCIe_5.0_CXL,500W,Dense_server_compute,A032
server_cpu,EPYC_9005,EPYC_9755,Zen_5,SP5,128,,,DDR5_12_channel,PCIe_5.0_CXL,500W,High_core_Zen5,A033
server_cpu,EPYC_9005,EPYC_9575F,Zen_5,SP5,64,,,DDR5_12_channel,PCIe_5.0_CXL,400W,High_frequency_AI_host,A033
data_center_gpu,Instinct_MI350,Instinct_MI355X,CDNA_4,OAM,,256,,288GB_HBM3E,Infinity_Fabric_platform,1400W_TDP,Maximum_CDNa4_configuration,A034
data_center_gpu,Instinct_MI350,Instinct_MI350X,CDNA_4,OAM,,256,,288GB_HBM3E,Infinity_Fabric_platform,1000W_TDP,Large_HBM_AI_accelerator,A034
data_center_gpu,Instinct_MI350,Instinct_MI350P,CDNA_4,PCIe_card,,,,HBM3E,PCIe,PCIe_form_factor,Existing_server_deployment,A034
data_center_gpu,Instinct_MI300,Instinct_MI300X,CDNA_3,OAM,,304,,192GB_HBM3,Infinity_Fabric_platform,750W_TDP,Large_language_model_capacity,A035
data_center_apu,Instinct_MI300,Instinct_MI300A,Zen_4_CDNa3,APU_package,24,228,,128GB_HBM3,Unified_package,760W_TDP,HPC_CPU_GPU_APU,A035
embedded_cpu,Ryzen_Embedded_9000,Ryzen_Embedded_9000_series,Zen_5,embedded_socket_or_BGA,varies,varies,,DDR5,Platform_specific,Platform_specific,Industrial_lifecycle,A019
embedded_server,EPYC_Embedded_9005,EPYC_Embedded_9005_series,Zen_5_Zen_5c,SP5,up_to_192,,,DDR5_12_channel,PCIe_5.0_CXL,SKU_specific,Networking_storage_lifecycle,A032
adaptive_soc,Versal_AI_Edge,Versal_AI_Edge_series,Adaptive_SoC,package,Arm_plus_AI_Engines,programmable_logic,,On_package_and_external,High_speed_IO,Device_specific,Deterministic_edge_AI,A057
adaptive_soc,Versal_Premium,Versal_Premium_series,Adaptive_SoC,package,Arm_plus_AI_Engines,programmable_logic,,External_DDR,High_speed_transceivers,Device_specific,Networking_and_compute,A057
fpga,AMD_FPGA,Virtex_UltraScale_Plus,FPGA,package,,programmable_logic,,External_memory,High_speed_transceivers,Device_specific,Reconfigurable_acceleration,A058
dpu,Pensando_Salina,Salina_DPU,Pensando_DPU,add_in_card_or_embedded,embedded_control,packet_processors,,On_card_memory,PCIe_and_Ethernet,Device_specific,Infrastructure_offload,A063
ai_nic,Pensando_Pollara,Pollara_400_AI_NIC,Pensando_networking,add_in_card,embedded_control,programmable_data_path,,On_card_memory,400GbE_class,Device_specific,Ultra_Ethernet_AI_network,A063
